index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity,acres_unharvested,yield_tons_per_acre,price_per_ton,tons_never_harvested,tons_never_harvested_not_marketable,tons_never_harvested_inedible,tons_never_harvested_bad_weather,tons_never_harvested_pests_disease,tons_never_harvested_market_dynamics,tons_never_harvested_other
2234,2016,michigan,apples,produce,apples,33000.0,33000.0,325195000.0,637500.0,0.5,0.0,19.3,510.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2235,2016,minnesota,apples,produce,apples,2900.0,2900.0,17052000.0,10750.0,0.5,0.0,3.7,1586.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2236,2016,new jersey,apples,produce,apples,2200.0,2200.0,33590000.0,15950.0,0.5,0.0,7.2,2106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2237,2016,new york,apples,produce,apples,43000.0,43000.0,345935000.0,625000.0,0.5,0.0,14.5,553.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2238,2016,north carolina,apples,produce,apples,5600.0,5600.0,26906000.0,57000.0,0.5,0.0,10.2,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2239,2016,ohio,apples,produce,apples,4000.0,4000.0,21656000.0,20950.0,0.5,0.0,5.2,1033.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240,2016,oregon,apples,produce,apples,5000.0,5000.0,59779000.0,97700.0,0.5,0.0,19.5,611.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2241,2016,pennsylvania,apples,produce,apples,20000.0,20000.0,89203000.0,233500.0,0.5,0.0,11.7,382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242,2016,vermont,apples,produce,apples,1900.0,1900.0,20419000.0,15000.0,0.5,0.0,7.9,1361.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2243,2016,virginia,apples,produce,apples,10300.0,10300.0,35854000.0,90000.0,0.5,0.0,8.7,398.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2244,2016,washington,apples,produce,apples,165000.0,165000.0,2350703000.0,3660000.0,0.5,0.0,22.2,642.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2245,2016,west virginia,apples,produce,apples,4600.0,4600.0,14742000.0,40000.0,0.5,0.0,8.7,368.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2246,2016,wisconsin,apples,produce,apples,4000.0,4000.0,21819000.0,20500.0,0.5,0.0,5.1,1064.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2247,2016,california,apricots,produce,apricots,10000.0,10000.0,48929000.0,56000.0,0.5,0.0,5.6,873.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2248,2016,washington,apricots,produce,apricots,1000.0,1000.0,8473000.0,8050.0,0.5,0.0,8.0,1052.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2249,2016,california,artichokes,produce,artichokes,6800.0,6800.0,77697000.0,49300.0,0.5,0.0,7.2,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,2016,california,asparagus,produce,asparagus,9400.0,9000.0,30456000.0,10800.0,0.5,400.0,1.2,2820.0,240.0,67.2,67.2,10.1,0.2,0.0,95.3
2251,2016,michigan,asparagus,produce,asparagus,11400.0,10400.0,22801000.0,13000.0,0.5,1000.0,1.2,1753.9,600.0,168.0,168.0,25.2,0.4,0.1,238.3
2252,2016,new jersey,asparagus,produce,asparagus,2200.0,2100.0,14330000.0,4200.0,0.5,100.0,2.0,3411.9,100.0,28.0,28.0,4.2,0.1,0.0,39.7
2253,2016,washington,asparagus,produce,asparagus,4600.0,4400.0,24102000.0,13640.0,0.5,200.0,3.1,1767.0,310.0,86.8,86.8,13.0,0.2,0.0,123.1
2254,2016,california,avocados,produce,avocados,50900.0,50900.0,351240000.0,113000.0,0.5,0.0,2.2,3108.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2255,2016,florida,avocados,produce,avocados,6000.0,6000.0,19080000.0,24100.0,0.5,0.0,4.0,791.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2256,2016,hawaii,avocados,produce,avocados,800.0,800.0,1934000.0,950.0,0.5,0.0,1.2,2035.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2257,2016,hawaii,bananas,produce,bananas,1050.0,1050.0,5592000.0,2800.0,0.5,0.0,2.7,1997.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2258,2016,california,peppers,produce,bell peppers,17200.0,17100.0,226411000.0,354825.0,0.5,100.0,20.8,638.1,1040.0,291.2,291.2,43.7,0.7,0.1,413.1
2259,2016,florida,peppers,produce,bell peppers,13500.0,12900.0,125962000.0,190275.0,0.5,600.0,14.8,662.0,4440.0,1243.2,1243.2,186.5,2.8,0.6,1763.7
2260,2016,georgia,peppers,produce,bell peppers,3300.0,3200.0,32736000.0,48000.0,0.5,100.0,15.0,682.0,750.0,210.0,210.0,31.5,0.5,0.1,297.9
2261,2016,michigan,peppers,produce,bell peppers,1800.0,1700.0,16354000.0,22100.0,0.5,100.0,13.0,740.0,650.0,182.0,182.0,27.3,0.4,0.1,258.2
2262,2016,new jersey,peppers,produce,bell peppers,3500.0,3400.0,29520000.0,46750.0,0.5,100.0,13.8,631.4,690.0,193.2,193.2,29.0,0.4,0.1,274.1
2263,2016,new york,peppers,produce,bell peppers,1000.0,900.0,7700000.0,13050.0,0.5,100.0,14.5,590.0,725.0,203.0,203.0,30.4,0.5,0.1,288.0
2264,2016,north carolina,peppers,produce,bell peppers,2400.0,2300.0,18975000.0,28750.0,0.5,100.0,12.5,660.0,625.0,175.0,175.0,26.2,0.4,0.1,248.3
2265,2016,ohio,peppers,produce,bell peppers,2000.0,1900.0,21279000.0,23750.0,0.5,100.0,12.5,896.0,625.0,175.0,175.0,26.2,0.4,0.1,248.3
2266,2016,pennsylvania,peppers,produce,bell peppers,1000.0,900.0,7063000.0,7425.0,0.5,100.0,8.2,951.2,410.0,114.8,114.8,17.2,0.3,0.1,162.9
2267,2016,oregon,blackberries,produce,blackberries,7000.0,7000.0,26387000.0,29180.0,0.5,0.0,4.2,904.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2268,2016,california,blueberries,produce,blueberries,6400.0,6400.0,108765000.0,30250.0,0.5,0.0,4.7,3595.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,2016,florida,blueberries,produce,blueberries,4700.0,4700.0,53656000.0,7350.0,0.5,0.0,1.6,7300.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,2016,georgia,blueberries,produce,blueberries,16900.0,16900.0,88305000.0,35400.0,0.5,0.0,2.1,2494.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2271,2016,maine,blueberries,produce,blueberries,23100.0,23100.0,27679000.0,50920.0,0.5,0.0,2.2,543.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2272,2016,michigan,blueberries,produce,blueberries,20300.0,20300.0,130350000.0,55150.0,0.5,0.0,2.7,2363.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2273,2016,mississippi,blueberries,produce,blueberries,1800.0,1800.0,10947000.0,4100.0,0.5,0.0,2.3,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2274,2016,new jersey,blueberries,produce,blueberries,9300.0,9300.0,59390000.0,22060.0,0.5,0.0,2.4,2692.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275,2016,new york,blueberries,produce,blueberries,900.0,900.0,3235000.0,695.0,0.5,0.0,0.8,4654.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2276,2016,north carolina,blueberries,produce,blueberries,7200.0,7200.0,66924000.0,23300.0,0.5,0.0,3.2,2872.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2277,2016,oregon,blueberries,produce,blueberries,11900.0,11900.0,104580000.0,58500.0,0.5,0.0,4.9,1787.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2278,2016,washington,blueberries,produce,blueberries,13400.0,13400.0,94008000.0,60000.0,0.5,0.0,4.5,1566.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2279,2016,arizona,broccoli,produce,broccoli,9300.0,9300.0,72205000.0,55800.0,0.5,0.0,6.0,1294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
