index,year,state,commodity_name,refed_food_department,refed_food_category,acres_planted,acres_harvested,us_dollars_harvested,tons_harvested,percent_maturity
2941,2018,,,,,3100.0,3100.0,9102000.0,22500.0,0.5
2942,2018,,,,,40000.0,40000.0,426470000.0,245000.0,0.5
2943,2018,,,,,1500.0,1500.0,1928000.0,5450.0,0.5
2944,2018,,,,,1100.0,1100.0,2660000.0,3300.0,0.5
2945,2018,,,,,2700.0,2700.0,29468000.0,51975.0,0.5
2946,2018,,,,,8400.0,7900.0,53766000.0,71100.0,0.5
2947,2018,,,,,2700.0,2500.0,8873000.0,6875.0,0.5
2948,2018,,,,,12700.0,12700.0,60916000.0,114500.0,0.5
2949,2018,,,,,3100.0,3100.0,14886000.0,25600.0,0.5
2950,2018,,,,,2800.0,2800.0,15101000.0,28950.0,0.5
2951,2018,,,,,20700.0,20700.0,154859000.0,277250.0,0.5
2952,2018,,,,,6000.0,5900.0,15379000.0,30975.0,0.5
2953,2018,,,,,8100.0,8100.0,33781000.0,83025.0,0.5
2954,2018,,,,,25000.0,24900.0,118524000.0,211650.0,0.5
2955,2018,,,,,10200.0,9400.0,35212000.0,70500.0,0.5
2956,2018,,,,,35000.0,34400.0,55418000.0,206400.0,0.5
2957,2018,,,,,2600.0,2600.0,7028000.0,12220.0,0.5
2958,2018,,,,,10600.0,9600.0,25582000.0,74400.0,0.5
2959,2018,,,,,1900.0,1900.0,4983000.0,14725.0,0.5
2960,2018,,,,,5700.0,4900.0,8746000.0,23765.0,0.5
2961,2018,,,,,5100.0,5100.0,12913000.0,30600.0,0.5
2962,2018,,,,,29900.0,29900.0,412587000.0,261625.0,0.5
2963,2018,,,,,9300.0,9300.0,69690000.0,160000.0,0.5
2964,2018,,,,,29800.0,29800.0,73200000.0,165000.0,0.5
2965,2018,,,,,15700.0,15700.0,65080000.0,192000.0,0.5
2966,2018,,,,,863000.0,863000.0,6260348000.0,7130000.0,0.5
2967,2018,,,,,74000.0,74000.0,360910000.0,466000.0,0.5
2968,2018,,,,,8000.0,7900.0,69008000.0,45425.0,0.5
